DEFINITIONS.ANCHORED,Anchored,A movement option that makes this window move together with the rest of the workspace. Emphasize the “moving together” part as opposed to “not moving at all”.
DEFINITIONS.FLOATING,Floating,A movement option that lets this window float freely.
DEFINITIONS.STATIC,Static,"A movement option that keeps this window in place relative to the world origin. Emphasize the “not moving at all” part, as opposed to the “moving together” option which was previously translated as ${DEFINITIONS.ANCHORED}."
DEFINITIONS.SET,Set,A desktop workspace consisting of multiple windows.
DEFINITIONS.WATCH,Watch,Name of the small utility window that hovers around the user’s wrist.
DEFINITIONS.DASHBOARD,Dashboard,Name of the window that acts as the main menu / control panel of the application.
DEFINITIONS.EDIT_MODE,Edit Mode,Name of the mode that allows the user to make various tweaks to the current workspace and its windows.
DEFINITIONS.MIRROR,Mirror,A type of virtual window that displays a desktop window using screen mirroring.
DEFINITIONS.SETTINGS,Settings,The title of the settings panel.
DEFINITIONS.KEYBOARD,Keyboard,Name of the virtual keyboard
DEFINITIONS.TASKBAR,Taskbar,"A long panel showing currently active programs & windows, workspaces and a clock."
DEFINITIONS.FEATURES,Features,The section title of the section panel that deals with software features.
DEFINITIONS.OVERLAY,Overlay,"An overlay window inside VR, similar to a “desktop window”. Consider it a technical term."
ANCHOR.CENTER,Center,A marker on the floor describing where the center of the area is
BAR.ADD_MIRROR,Add a new mirror overlay,"Button to add a mirror overlay window. “Mirror” was previously translated as “${DEFINITIONS.MIRROR}”, “Overlay” was previously translated as “${DEFINITIONS.OVERLAY}”"
BAR.ADD_NEW_SET,Add new set,Button to add a new set. “Set” was previously translated as “${DEFINITIONS.SET}”
BAR.ADD_PASSTHRU,Add new pass-through cutout,Button to add a new window that lets the user see into their real-life environment using camera pass-through.
BAR.CLOSE_APP,Close app,Button to quit the app
BAR.CLOSE_OVERLAY,Close overlay,Button to close an overlay window. “Overlay” was previously translated as “{$DEFINITIONS.OVERLAY}”
BAR.DELETE_CURRENT_SET,Delete current set,Button to delete the currently selected set. “Set” was previously translated as “${DEFINITIONS.SET}”
BAR.EDIT_MODE_TOGGLE,Toggle edit mode,Button to toggle Edit mode. “Edit mode” was previously translated as “${DEFINITIONS.EDIT_MODE}”
BAR.FORCE_CLOSE_APP,Force close app,Button to terminate an application from the process manager
BAR.HANDSFREE.EYE_ONLY,Eye laser,Option to aim with the user’s eye gaze (eye tracking)
BAR.HANDSFREE.EYE_TRACKING,Eye + pinch,Option to aim with the user’s eye gaze (eye tracking) and input using pinch gestures
BAR.HANDSFREE.HMD,HMD + pinch,Option to aim with the HMD and input using pinch gestures
BAR.HANDSFREE.HMD_ONLY,HMD laser,Option to aim with the HMD
BAR.HANDSFREE.NONE,Off,Option to not use this feature at all
BAR.HANDSFREE.TITLE,Hands-free mode,"Title of a mode that lets the user interact with the software without controllers, keyboard or mouse."
BAR.RELOAD_FROM_DISK,Reload XML from disk,Button to reload the XML configuration file from disk
BAR.RESET_POSITION,Reset position,Button to reset the selected object to its default position and orientation
BAR.TOGGLE_VISIBILITY,Toggle visibility,Button to toggle the visibility of this object
DEFAULT,Default,Default value used when no custom setting is applied
DISABLED,Disabled,Feature or setting is turned off
DONE,Done,Title of a pop-up dialog explaining that the requested action has completed successfully.
EDIT_MODE.ADJUST_CURVATURE,Adjust curvature,Tooltip on a settings page to adjust screen panel curvature
EDIT_MODE.ALIGN_TO_HMD,Align to HMD,Checkbox for a window to always rotate (billboard) towards the viewer
EDIT_MODE.ALPHA_BLEND_MODE,Alpha blend mode,Blending mode for window transparency
EDIT_MODE.ANGLE_FADE,Angle fade,Fade based on viewing angle
EDIT_MODE.ANGLE_FADE_HELP,Fade when not facing HMD,Automatically fades the window when it is not facing the HMD
EDIT_MODE.BLENDING_ADDITIVE,Additive blending,Additive blending mode for overlays
EDIT_MODE.BLOCK_INPUT,Block game input,Block games form receiving controller input while pointing at the window
EDIT_MODE.CURVATURE,Curvature,Adjust the curvature of the window panel
EDIT_MODE.DELETE,Long press to remove from current set,Button tooltip to remove this window from the current set. “Set” was previously translated as “${DEFINITIONS.SET}”
EDIT_MODE.DISABLE_GRAB,Disable grab,Tooltip on a button that disable grabbing/movement on this this window
EDIT_MODE.GLOBAL,Always visible,Tooltip on a checkbox that makes this window always visible regardless of the active set/workspace
